City_ID,City,Country,Max Temp,Lat,Lng,Description,Hotel Name
3,Bandarbeyla,SO,76.91,9.49,50.81,clear sky,REER XOOSHLE GROUP
5,New Norfolk,AU,66.0,-42.78,147.06,overcast clouds,The Shingles Riverside Cottages
6,Porto Novo,BJ,77.0,6.5,2.6,scattered clouds,Tour Eiffel Hotel Benin
9,Busselton,AU,72.0,-33.65,115.33,clear sky,Observatory Guest House
12,Havelock,US,75.2,34.88,-76.9,overcast clouds,Sherwood Motel
20,Rikitea,PF,74.3,-23.12,-134.97,clear sky,Pension Maro'i
27,Port Lincoln,AU,76.44,-34.73,135.87,clear sky,Port Lincoln Hotel
28,Airai,TL,77.25,-8.93,125.41,scattered clouds,Juvinal Martin
30,Geraldton,AU,71.6,-28.77,114.6,clear sky,Broadwater Mariner Resort
31,Ibra,OM,79.84,22.69,58.53,clear sky,مزرعة راحة النفوس المنزفة
34,San Quintin,MX,68.02,30.48,-115.95,clear sky,Old Mill Hotel
36,Chandla,IN,83.57,25.08,80.2,overcast clouds,Rest House
38,Cayenne,GF,73.4,4.93,-52.33,clear sky,Hôtel Le Dronmi
43,Mount Gambier,AU,71.6,-37.83,140.77,scattered clouds,Commodore on the Park
44,Hambantota,LK,82.4,6.12,81.12,few clouds,Bungalow 63
45,Sao Jose Da Coroa Grande,BR,75.34,-8.9,-35.15,scattered clouds,Crôa Mares Hotel
47,Mahebourg,MU,73.4,-20.41,57.7,scattered clouds,Shandrani Beachcomber Resort & Spa
51,Hithadhoo,MV,81.64,-0.6,73.08,light rain,Scoop Guest House
52,Ponta Do Sol,PT,69.8,32.67,-17.1,few clouds,Hotel do Campo
57,Xuddur,SO,72.37,4.12,43.89,clear sky,Banjanay Hotel
58,Itarema,BR,77.34,-2.92,-39.92,clear sky,Windvillage
60,Bengkulu,ID,78.53,-3.8,102.27,light rain,Grage Hotel Bengkulu
63,Hirado,JP,75.2,33.36,129.55,scattered clouds,Samson Hotel
64,Kapaa,US,84.2,22.08,-159.32,scattered clouds,Sheraton Kauai Resort at Coconut Beach
65,Porbandar,IN,83.26,21.64,69.61,overcast clouds,Lords Inn Porbandar
70,Hobart,AU,66.0,-42.88,147.33,broken clouds,St Ives Hobart Accommodation Tasmania
73,Vaini,TO,78.8,-21.2,-175.2,scattered clouds,Keleti Beach Resort
74,Souillac,MU,73.4,-20.52,57.52,scattered clouds,Bils' Villa
75,Saint-Philippe,RE,70.0,-21.36,55.77,light rain,"Chambres d'hôte ""La Trinité"""
79,Loreto,MX,66.49,22.27,-101.97,overcast clouds,José de Jesús Velásquez mora
82,Vila Franca Do Campo,PT,66.2,37.72,-25.43,broken clouds,Pestana Bahia Praia
88,Benjamin Constant,BR,77.0,-4.38,-70.03,light rain,CASA AVALIADA
89,San Patricio,US,80.01,28.02,-97.52,scattered clouds,"Motel 6 Sinton, TX"
94,Lorengau,PG,84.34,-2.02,147.27,light rain,Lorengau Harbourside Hotel
99,Kralendijk,BQ,84.2,12.15,-68.27,scattered clouds,Divi Flamingo Beach Resort & Casino
