City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Rocha,UY,-34.48,-54.33,51.26,92,30,7.61,scattered clouds
1,Comarapa,BO,-17.9,-64.48,64.27,60,99,0.76,overcast clouds
2,Tongliao,CN,43.61,122.27,53.11,36,0,10.65,clear sky
3,Bandarbeyla,SO,9.49,50.81,76.91,78,5,1.3,clear sky
4,Chokurdakh,RU,70.63,147.92,21.74,93,94,6.02,overcast clouds
5,New Norfolk,AU,-42.78,147.06,66.0,51,87,1.99,overcast clouds
6,Porto Novo,BJ,6.5,2.6,77.0,94,40,2.24,scattered clouds
7,Yar-Sale,RU,66.83,70.83,38.77,90,51,9.46,broken clouds
8,Severo-Kurilsk,RU,50.68,156.12,48.72,69,2,1.72,clear sky
9,Busselton,AU,-33.65,115.33,72.0,46,2,2.48,clear sky
10,Nemuro,JP,43.32,145.57,62.6,77,75,4.7,broken clouds
11,Chifeng,CN,42.27,118.96,50.67,37,0,10.45,clear sky
12,Havelock,US,34.88,-76.9,75.2,88,90,17.22,overcast clouds
13,Pevek,RU,69.7,170.31,28.26,93,70,5.3,broken clouds
14,Lebu,CL,-37.62,-73.65,50.83,70,0,18.45,clear sky
15,Camana,PE,-16.62,-72.71,61.99,76,66,5.44,broken clouds
16,Vanimo,PG,-2.67,141.3,87.48,63,99,9.84,overcast clouds
17,Bad Aussee,AT,47.61,13.78,37.99,87,100,3.04,overcast clouds
18,Castro,BR,-24.79,-50.01,51.58,97,4,5.66,clear sky
19,Ust-Kuyga,RU,70.02,135.6,18.19,91,0,1.48,clear sky
20,Rikitea,PF,-23.12,-134.97,74.3,76,2,11.86,clear sky
21,Pullman,US,46.73,-117.18,46.4,87,90,9.17,light rain
22,Talcahuano,CL,-36.72,-73.12,55.4,66,0,11.41,clear sky
23,Lufilufi,WS,-13.87,-171.6,89.6,59,75,10.29,broken clouds
24,Albany,US,42.6,-73.97,45.0,56,100,2.8,overcast clouds
25,Middelkerke,BE,51.16,2.84,53.6,66,75,9.17,broken clouds
26,Mataura,NZ,-46.19,168.86,54.0,64,94,8.01,overcast clouds
27,Port Lincoln,AU,-34.73,135.87,76.44,36,0,19.8,clear sky
28,Airai,TL,-8.93,125.41,77.25,49,29,6.64,scattered clouds
29,Georgetown,MY,5.41,100.34,86.0,78,20,5.82,moderate rain
30,Geraldton,AU,-28.77,114.6,71.6,53,0,11.41,clear sky
31,Ibra,OM,22.69,58.53,79.84,25,0,6.33,clear sky
32,Wewak,PG,-3.55,143.63,85.53,68,100,8.95,overcast clouds
33,Ushuaia,AR,-54.8,-68.3,44.6,56,60,9.17,broken clouds
34,San Quintin,MX,30.48,-115.95,68.02,85,0,8.52,clear sky
35,Tuktoyaktuk,CA,69.45,-133.04,26.6,86,90,26.4,light snow
36,Chandla,IN,25.08,80.2,83.57,49,94,1.07,overcast clouds
37,Norman Wells,CA,65.28,-126.83,26.6,92,90,14.99,light snow
38,Cayenne,GF,4.93,-52.33,73.4,100,1,10.74,clear sky
39,Hilo,US,19.73,-155.09,86.0,58,40,8.05,scattered clouds
40,Penzance,GB,50.12,-5.54,46.99,93,100,1.12,overcast clouds
41,Aykhal,RU,66.0,111.5,15.8,92,40,2.24,scattered clouds
42,Clyde River,CA,70.47,-68.59,30.2,92,90,2.24,overcast clouds
43,Mount Gambier,AU,-37.83,140.77,71.6,53,40,19.46,scattered clouds
44,Hambantota,LK,6.12,81.12,82.4,83,20,11.41,few clouds
45,Sao Jose Da Coroa Grande,BR,-8.9,-35.15,75.34,83,26,11.41,scattered clouds
46,Yellowknife,CA,62.46,-114.35,33.8,86,90,13.87,overcast clouds
47,Mahebourg,MU,-20.41,57.7,73.4,83,40,5.82,scattered clouds
48,Punta Arenas,CL,-53.15,-70.92,42.8,75,16,14.99,few clouds
49,Beringovskiy,RU,63.05,179.32,33.33,95,100,29.26,overcast clouds
50,Khatanga,RU,71.97,102.5,25.02,98,100,12.68,light snow
51,Hithadhoo,MV,-0.6,73.08,81.64,76,100,13.44,light rain
52,Ponta Do Sol,PT,32.67,-17.1,69.8,68,20,17.22,few clouds
53,Tiksi,RU,71.69,128.87,12.45,94,29,7.65,scattered clouds
54,Zabol,AF,32.25,67.25,45.16,46,0,5.28,clear sky
55,Erenhot,CN,43.65,111.98,46.78,43,0,18.66,clear sky
56,Tasiilaq,GL,65.61,-37.64,33.8,97,100,2.24,overcast clouds
57,Xuddur,SO,4.12,43.89,72.37,89,3,8.9,clear sky
58,Itarema,BR,-2.92,-39.92,77.34,84,0,12.08,clear sky
59,Thompson,CA,55.74,-97.86,44.6,87,75,3.36,broken clouds
60,Bengkulu,ID,-3.8,102.27,78.53,81,100,6.2,light rain
61,Cape Town,ZA,-33.93,18.42,53.01,87,53,3.33,broken clouds
62,Saldanha,ZA,-33.01,17.94,48.2,70,0,5.14,clear sky
63,Hirado,JP,33.36,129.55,75.2,64,40,10.29,scattered clouds
64,Kapaa,US,22.08,-159.32,84.2,66,40,13.87,scattered clouds
65,Porbandar,IN,21.64,69.61,83.26,73,98,12.57,overcast clouds
66,Bluff,NZ,-46.6,168.33,54.0,64,81,8.01,broken clouds
67,Lavrentiya,RU,65.58,-171.0,36.5,82,100,16.46,overcast clouds
68,Santa Cruz Del Sur,CU,20.71,-78.0,80.11,84,100,12.75,light rain
69,Hermanus,ZA,-34.42,19.23,52.0,78,73,5.01,broken clouds
70,Hobart,AU,-42.88,147.33,66.0,48,75,8.05,broken clouds
71,Kungurtug,RU,50.6,97.52,26.76,88,100,1.28,overcast clouds
72,Dandong,CN,40.13,124.39,57.31,37,0,13.44,clear sky
73,Vaini,TO,-21.2,-175.2,78.8,78,40,12.75,scattered clouds
74,Souillac,MU,-20.52,57.52,73.4,83,40,5.82,scattered clouds
75,Saint-Philippe,RE,-21.36,55.77,70.0,73,40,2.24,light rain
76,Gorontalo,ID,0.54,123.06,88.45,53,37,8.28,scattered clouds
77,Avila,ES,40.58,-5.0,39.99,82,0,4.21,clear sky
78,Mar Del Plata,AR,-38.0,-57.56,52.0,87,40,6.93,scattered clouds
79,Loreto,MX,22.27,-101.97,66.49,32,100,10.4,overcast clouds
80,Ilulissat,GL,69.22,-51.1,37.4,95,100,4.7,light rain
81,Upernavik,GL,72.79,-56.15,34.43,89,100,0.92,overcast clouds
82,Vila Franca Do Campo,PT,37.72,-25.43,66.2,72,75,8.05,broken clouds
83,Barrow,US,71.29,-156.79,24.8,68,90,9.17,overcast clouds
84,Tuatapere,NZ,-46.13,167.68,54.0,64,100,8.01,overcast clouds
85,Nikolskoye,RU,59.7,30.79,52.0,93,75,2.08,mist
86,Taoudenni,ML,22.68,-3.98,87.06,28,32,10.67,scattered clouds
87,Prince Rupert,CA,54.32,-130.32,48.2,87,90,1.48,overcast clouds
88,Benjamin Constant,BR,-4.38,-70.03,77.0,100,40,2.24,light rain
89,San Patricio,US,28.02,-97.52,80.01,88,40,11.41,scattered clouds
90,Luderitz,NA,-26.65,15.16,62.44,31,0,8.32,clear sky
91,Provideniya,RU,64.38,-173.3,41.0,82,75,20.13,broken clouds
92,Atlantic City,US,39.36,-74.42,64.0,93,90,14.99,overcast clouds
93,Bonfim,BR,3.08,-59.95,78.76,72,6,0.34,clear sky
94,Lorengau,PG,-2.02,147.27,84.34,75,100,10.54,light rain
95,Valer,NO,60.68,11.83,44.6,70,59,5.82,broken clouds
96,Oppdal,NO,62.59,9.69,37.94,84,100,4.76,light rain
97,Davila,PH,18.47,120.58,86.0,79,75,4.7,broken clouds
98,Lokosovo,RU,61.13,74.82,40.57,97,99,8.68,light rain
