City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Biak,ID,2020-10-07 23:32:15,-0.91,122.88,80.38,70,100,2.26
1,Peleduy,RU,2020-10-07 23:32:15,59.63,112.74,31.82,90,97,5.44
2,Avarua,CK,2020-10-07 23:27:06,-21.21,-159.78,78.8,65,38,18.34
3,New Norfolk,AU,2020-10-07 23:27:12,-42.78,147.06,54.0,83,100,3.0
4,Piat,PH,2020-10-07 23:32:15,17.79,121.48,79.0,85,100,8.01
5,Busselton,AU,2020-10-07 23:26:53,-33.65,115.33,53.01,88,7,5.95
6,Faanui,PF,2020-10-07 23:27:06,-16.48,-151.75,78.75,78,25,19.71
7,Ishigaki,JP,2020-10-07 23:32:16,24.34,124.16,78.8,69,40,13.87
8,Kodinsk,RU,2020-10-07 23:32:16,58.69,99.18,30.24,97,97,5.14
9,Mbanza-Ngungu,CD,2020-10-07 23:32:16,-5.25,14.87,71.24,87,44,7.18
10,Rikitea,PF,2020-10-07 23:23:04,-23.12,-134.97,73.98,79,100,9.33
11,Tombouctou,ML,2020-10-07 23:32:16,20.0,-3.0,91.67,14,0,11.63
12,Mataura,NZ,2020-10-07 23:27:02,-46.19,168.86,46.99,63,89,5.01
13,Ushuaia,AR,2020-10-07 23:30:20,-54.8,-68.3,41.0,65,75,13.87
14,Ribeira Grande,PT,2020-10-07 23:27:22,38.52,-28.7,70.86,84,96,7.58
15,Atuona,PF,2020-10-07 23:31:21,-9.8,-139.03,77.94,74,0,15.19
16,Straumen,NO,2020-10-07 23:32:17,63.87,11.3,55.0,100,75,8.05
17,Sioux Lookout,CA,2020-10-07 23:30:53,50.1,-91.92,46.4,93,90,8.05
18,Adrar,MR,2020-10-07 23:27:22,20.5,-10.07,94.14,20,73,11.43
19,Qaanaaq,GL,2020-10-07 23:27:00,77.48,-69.36,11.35,76,0,4.68
20,Butaritari,KI,2020-10-07 23:27:18,3.07,172.79,81.88,79,100,10.49
21,Georgetown,MY,2020-10-07 23:27:14,5.41,100.34,77.0,94,40,6.93
22,Longyearbyen,SJ,2020-10-07 23:27:25,78.22,15.64,30.2,100,90,20.8
23,Hilo,US,2020-10-07 23:26:57,19.73,-155.09,84.2,66,75,10.29
24,Aden,YE,2020-10-07 23:27:18,12.78,45.04,84.2,72,0,10.78
25,Castro,BR,2020-10-07 23:29:36,-24.79,-50.01,72.27,59,26,6.46
26,Firminopolis,BR,2020-10-07 23:32:17,-16.58,-50.3,83.77,20,1,3.24
27,Madera,US,2020-10-07 23:32:18,37.17,-119.83,86.0,27,0,1.99
28,Petropavlovsk-Kamchatskiy,RU,2020-10-07 23:32:18,53.05,158.65,53.6,57,10,13.42
29,Victoria,HK,2020-10-07 23:24:14,22.29,114.16,75.0,72,36,1.01
30,Porbandar,IN,2020-10-07 23:27:37,21.64,69.61,80.51,78,19,10.16
31,Cape Town,ZA,2020-10-07 23:22:55,-33.93,18.42,59.0,87,12,10.29
32,Ponta Do Sol,PT,2020-10-07 23:27:14,32.67,-17.1,71.6,83,75,3.36
33,Upernavik,GL,2020-10-07 23:27:02,72.79,-56.15,21.85,88,0,10.54
34,Eureka,US,2020-10-07 23:27:13,40.8,-124.16,57.2,93,90,4.7
35,Lavumisa,SZ,2020-10-07 23:26:04,-27.31,31.89,62.89,89,30,5.26
36,Bambous Virieux,MU,2020-10-07 23:27:05,-20.34,57.76,73.4,88,40,13.87
37,Fortuna,US,2020-10-07 23:27:00,40.6,-124.16,57.2,87,40,11.41
38,Klaksvik,FO,2020-10-07 23:26:57,62.23,-6.59,46.4,87,100,17.22
39,Hualmay,PE,2020-10-07 23:26:53,-11.1,-77.61,64.9,77,43,8.01
40,Bengkulu,ID,2020-10-07 23:27:46,-3.8,102.27,75.13,88,98,2.3
41,Kavieng,PG,2020-10-07 23:27:19,-2.57,150.8,84.96,66,99,6.67
42,Punta Arenas,CL,2020-10-07 23:24:29,-53.15,-70.92,46.4,61,100,12.75
43,Namibe,AO,2020-10-07 23:27:12,-15.2,12.15,60.89,87,86,4.97
44,Bonavista,CA,2020-10-07 23:27:52,48.65,-53.11,54.0,86,100,17.0
45,Kaitangata,NZ,2020-10-07 23:26:59,-46.28,169.85,48.0,53,84,7.0
46,Yulara,AU,2020-10-07 23:27:32,-25.24,130.99,59.0,44,0,10.29
47,Emden,DE,2020-10-07 23:32:20,53.37,7.22,52.0,94,80,5.99
48,Hobart,AU,2020-10-07 23:28:06,-42.88,147.33,55.4,76,75,11.41
49,Saldanha,ZA,2020-10-07 23:31:21,-33.01,17.94,55.4,82,0,8.05
50,Lebu,CL,2020-10-07 23:27:09,-37.62,-73.65,49.75,79,90,10.85
51,Tuktoyaktuk,CA,2020-10-07 23:31:20,69.45,-133.04,32.0,95,90,5.82
52,Dikson,RU,2020-10-07 23:26:59,73.51,80.55,36.75,96,100,25.99
53,Vaini,TO,2020-10-07 23:26:57,-21.2,-175.2,71.6,94,90,9.17
54,Acapulco,MX,2020-10-07 23:31:02,16.86,-99.89,84.2,66,40,6.93
55,Saskylakh,RU,2020-10-07 23:27:30,71.92,114.08,9.68,94,43,9.13
56,Geraldton,AU,2020-10-07 23:32:20,-28.77,114.6,60.8,77,90,8.05
57,Nikolskoye,RU,2020-10-07 23:26:59,59.7,30.79,55.4,87,90,2.24
58,Thompson,CA,2020-10-07 23:26:05,55.74,-97.86,33.8,59,75,10.29
59,Severo-Kurilsk,RU,2020-10-07 23:31:21,50.68,156.12,47.8,73,42,27.22
60,Aginskoye,RU,2020-10-07 23:32:21,51.1,114.53,36.14,79,0,5.88
61,Bollnas,SE,2020-10-07 23:32:21,61.35,16.39,48.99,93,83,2.15
62,Nome,US,2020-10-07 23:26:21,64.5,-165.41,42.8,81,90,24.16
63,Faya,SA,2020-10-07 23:27:05,18.39,42.45,64.4,25,0,8.32
64,Palauig,PH,2020-10-07 23:32:22,15.44,119.9,83.93,69,100,1.03
65,Kamaishi,JP,2020-10-07 23:32:22,39.27,141.88,51.8,93,75,2.24
66,Pisco,PE,2020-10-07 23:26:54,-13.7,-76.22,66.2,72,38,9.17
67,Baruun-Urt,MN,2020-10-07 23:32:22,46.68,113.28,43.59,55,34,6.53
68,Ancud,CL,2020-10-07 23:27:38,-41.87,-73.82,50.0,87,40,12.75
69,Isangel,VU,2020-10-07 23:27:57,-19.55,169.27,78.8,78,40,9.17
70,Okhotsk,RU,2020-10-07 23:32:22,59.38,143.3,44.55,59,0,16.4
71,Westport,US,2020-10-07 23:24:02,41.14,-73.36,63.0,67,90,20.8
72,Arraial Do Cabo,BR,2020-10-07 23:26:57,-22.97,-42.03,73.94,95,23,1.39
73,Buckeye,US,2020-10-07 23:32:23,33.37,-112.58,104.0,6,1,4.7
74,Albany,US,2020-10-07 23:27:00,42.6,-73.97,57.0,74,70,12.12
75,Margate,GB,2020-10-07 23:32:23,51.38,1.39,60.01,94,89,1.99
76,Hays,US,2020-10-07 23:32:23,30.05,-98.03,84.99,45,41,8.37
77,Yellowknife,CA,2020-10-07 23:27:00,62.46,-114.35,39.2,80,90,6.17
78,Maneadero,MX,2020-10-07 23:32:23,31.72,-116.57,75.0,78,6,3.0
79,Sitka,US,2020-10-07 23:27:37,57.05,-135.33,51.8,76,40,5.82
80,Port Lincoln,AU,2020-10-07 23:32:23,-34.73,135.87,56.39,67,61,17.34
81,Barrow,US,2020-10-07 23:27:17,71.29,-156.79,30.2,86,90,19.46
82,Port Hardy,CA,2020-10-07 23:27:37,50.7,-127.42,53.6,93,75,4.7
83,Harper,LR,2020-10-07 23:32:24,4.38,-7.72,77.23,87,100,8.19
84,Abu Dhabi,AE,2020-10-07 23:27:18,24.47,54.37,86.0,84,0,3.36
85,Provideniya,RU,2020-10-07 23:26:56,64.38,-173.3,44.6,87,90,15.66
86,Quang Ngai,VN,2020-10-07 23:32:24,15.12,108.8,78.71,91,100,4.41
87,Weatherford,US,2020-10-07 23:27:41,32.76,-97.8,86.0,55,0,1.01
88,Mar Del Plata,AR,2020-10-07 23:29:59,-38.0,-57.56,53.01,53,0,4.7
89,Padang,ID,2020-10-07 23:27:21,-0.95,100.35,75.83,87,100,4.32
90,Bluff,NZ,2020-10-07 23:27:02,-46.6,168.33,46.99,63,95,5.01
91,Bethel,US,2020-10-07 23:27:10,41.37,-73.41,57.99,71,75,9.17
92,Tilichiki,RU,2020-10-07 23:32:25,60.47,166.1,34.99,85,100,26.82
93,Chuy,UY,2020-10-07 23:27:24,-33.7,-53.46,54.36,83,24,3.27
94,Sola,VU,2020-10-07 23:32:25,-13.88,167.55,78.46,85,56,18.03
95,Mocuba,MZ,2020-10-07 23:32:25,-16.84,36.99,68.29,82,22,3.0
96,Dauriya,RU,2020-10-07 23:31:26,49.93,116.87,37.36,73,0,8.03
97,Husavik,IS,2020-10-07 23:32:25,66.04,-17.34,37.4,93,90,5.82
98,Tessalit,ML,2020-10-07 23:27:41,20.2,1.01,86.88,13,0,15.39
99,Hithadhoo,MV,2020-10-07 23:26:59,-0.6,73.08,82.74,76,85,9.95
100,Altay,CN,2020-10-07 23:32:26,47.87,88.12,25.74,86,45,2.57
101,Rampura,IN,2020-10-07 23:32:26,30.25,75.23,70.75,25,0,2.66
102,Flinders,AU,2020-10-07 23:27:34,-34.58,150.86,66.99,91,45,8.01
103,Vredefort,ZA,2020-10-07 23:32:26,-27.01,27.36,57.87,78,43,7.7
104,Torbay,CA,2020-10-07 23:27:20,47.67,-52.73,54.0,93,90,18.34
105,Beringovskiy,RU,2020-10-07 23:27:51,63.05,179.32,42.13,93,100,29.77
106,Richmond,US,2020-10-07 23:29:14,37.55,-77.46,75.2,53,20,12.75
107,Perth,AU,2020-10-07 23:30:18,-31.93,115.83,55.4,93,40,5.82
108,Cherskiy,RU,2020-10-07 23:27:04,68.75,161.3,27.12,97,66,5.79
109,Luderitz,NA,2020-10-07 23:27:03,-26.65,15.16,59.5,81,0,17.49
110,Verkhoyansk,RU,2020-10-07 23:32:27,67.54,133.38,34.65,77,100,4.07
111,Senekal,ZA,2020-10-07 23:32:27,-28.32,27.62,58.48,75,1,5.79
112,Andros Town,BS,2020-10-07 23:32:27,24.7,-77.77,84.2,66,40,9.17
113,Kodiak,US,2020-10-07 23:26:58,57.79,-152.41,46.4,87,90,14.99
